word,category
LED lights,ACTUATOR
LG C1 OLED TV,ACTUATOR
LG Energy Star PuriCare 50-Pint Dehumidifier,ACTUATOR
LG PuriCare 360-Degree Air Purifier,ACTUATOR
Hunter Apache Smart Ceiling Fan,ACTUATOR
LG Smart Dishwasher,ACTUATOR
LG Smart Oven,ACTUATOR
LG Smart ThinQ Dishwasher,ACTUATOR
Taco 007e-F2 ECM High-Efficiency Circulator Pump,ACTUATOR
LIFX A60 Smart Bulb,ACTUATOR
LIFX Mini Smart LED Light Bulb,ACTUATOR
LIFX Tile LED light panels,ACTUATOR
LINAK LA36 electric linear actuator,ACTUATOR
LINKA Smart Bike Lock,ACTUATOR
TPI Corporation OCH-Series Infrared Heater,ACTUATOR
LG Smart InstaView Door-in-Door Refrigerator,ACTUATOR
LiftMaster 8500W Jackshaft Garage Door Opener,ACTUATOR
Honeywell Top Fill Cool Moisture Humidifier,ACTUATOR
Honeywell RA890F1288 Protectorelay Flame Relay,ACTUATOR
Gikfun Mini Slide Switch,ACTUATOR
Gikfun Mini Toggle Switch,ACTUATOR
Watson-Marlow 520RE Tube Pump,ACTUATOR
Google Nest Audio,ACTUATOR
Watson-Marlow 400 Series Peristaltic Pump,ACTUATOR
Watlow FIREROD® Immersion Heater,ACTUATOR
Google Nest Protect,ACTUATOR
Google Nest WiFi Router,ACTUATOR
Goulds Water Technology Shallow Well Jet Pump,ACTUATOR
Goulds Water Technology Turbine Pump,ACTUATOR
Graco Husky 1040 Air-Operated Diaphragm Pump,ACTUATOR
Graco Husky 1050 Diaphragm Pump,ACTUATOR
Graco Husky Air-Operated Double Diaphragm Pump,ACTUATOR
Grainger Solenoids,ACTUATOR
Waspmote,ACTUATOR
Warren Electric Corporation Duct Heater,ACTUATOR
Walfront Micro Switches,ACTUATOR
WOpet SmartFeeder Automatic Pet Feeder,ACTUATOR
WATTCO™ Flanged Tubular Heaters,ACTUATOR
Waveshare 2.13 Inch E-Ink Display HAT,ACTUATOR
Vulcan Electric Company Process Heater,ACTUATOR
Genie QuietLift Connect,ACTUATOR
Geeplus Latching Solenoids,ACTUATOR
GE Profile Smart Refrigerator,ACTUATOR
GR/G linear actuator,ACTUATOR
Xiaomi Smartmi Ultrasonic Humidifier 2,ACTUATOR
Xiaomi Smartmi Standing Fan,ACTUATOR
Xiaomi Smart Kettle,ACTUATOR
Xiaomi Mi Air Purifier 2S,ACTUATOR
XYZrobot Bolide,ACTUATOR
X-Sense SD10 Smoke Detector and Fire Alarm,ACTUATOR
Wilden PX200 Advanced™ FIT Pumps,ACTUATOR
Whirlpool Smart Oven,ACTUATOR
Whirlpool Smart French Door,ACTUATOR
Westlink 6L Automatic Pet Feeder,ACTUATOR
Wemo Wi-Fi Smart Light Switch,ACTUATOR
Wemo Mini Smart Plug,ACTUATOR
Welch® CRVpro 8 Direct Drive Rotary Vane Vacuum Pump,ACTUATOR
WeMo 3-Way Smart Light Switch,ACTUATOR
Garmin Venu 2,ACTUATOR
Gast DOA-P704-AA Vacuum Pump,ACTUATOR
Gate Labs All-in-One Smart Lock,ACTUATOR
Gemu 687 HPW Diaphragm Valve,ACTUATOR
GreenIQ Smart Garden Hub,ACTUATOR
Von Duprin 6111 Electric Strike,ACTUATOR
Vizio M-Series Quantum 4K TV,ACTUATOR
Haydon Kerk Pittman DT series brushless DC motor,ACTUATOR
HiLetgo Hall Effect Magnetic Sensor Switches,ACTUATOR
Uxcell's ring-shaped electromagnet,ACTUATOR
Hisense Smart Refrigerator,ACTUATOR
Hisense U7G 4K TV,ACTUATOR
Hive Active Light Dimmable Smart Bulbs,ACTUATOR
Uxcell Magnetic Reed Switches,ACTUATOR
Hiwin KK linear ball screw actuator,ACTUATOR
Hiwin QH linear guideway actuator,ACTUATOR
Holy Stone HS100D,ACTUATOR
Holy Stone HS720E,ACTUATOR
HomePod Mini,ACTUATOR
Honeywell 70 Pint Dehumidifier,ACTUATOR
Uxcell 3 Position Rotary Switch,ACTUATOR
Ultrasonic Module Distance Sensor,ACTUATOR
Ultraloq U-Bolt Pro,ACTUATOR
Honeywell Home Smart Air Purifier,ACTUATOR
Honeywell Home Smart Light Switch,ACTUATOR
Ultimate Ears Blast,ACTUATOR
Haydon Kerk IDEA linear actuator,ACTUATOR
Hathaspace Smart True HEPA Air Purifier,ACTUATOR
Harman Kardon Citation 300,ACTUATOR
Hamilton Beach Smart Kettle,ACTUATOR
Vivint system,ACTUATOR
Visionis FPC-5197 One Door Access Control,ACTUATOR
Grove OLED Display 1.12,ACTUATOR
Growlink Smart Garden System,ACTUATOR
Grundfos MAGNA1 Centrifugal Pump,ACTUATOR
Grundfos MAGNA3 Circulator Pump,ACTUATOR
Guardian Electric A420-066951-00 solenoid,ACTUATOR
Visaton Full Range Speakers,ACTUATOR
Viking Universal Seal Series Positive Displacement Pump,ACTUATOR
Honeywell Smart Home Security System,ACTUATOR
Viking Pump Universal Mag Drive Internal Gear Pump,ACTUATOR
VegeBox Smart LED Hydroponics Growing System,ACTUATOR
HES 9600 Series Electric Strike,ACTUATOR
VegTrug Smart Garden,ACTUATOR
HZFJ 12V 24V Open Frame Solenoid Electromagnet,ACTUATOR
Haier Smart Refrigerator,ACTUATOR
Haight Pumps Series 500 Internal Gear Pump,ACTUATOR
Haiku Smart Ceiling Fan,ACTUATOR
Halo Smart Smoke Detector,ACTUATOR
Hamilton Beach Smart Coffee Maker,ACTUATOR
Velan Securaseal™ Metal Seated Ball Valve,ACTUATOR
Lifx LED smart bulbs,ACTUATOR
Syma X5UW-D,ACTUATOR
Lin Engineering G3718V series stepper motor,ACTUATOR
PUI Audio Micro Speakers,ACTUATOR
PUI Audio Piezo Speakers,ACTUATOR
Panasonic PA-N Relay,ACTUATOR
Parker Electromechanical HLE linear actuator,ACTUATOR
Parker Hannifin PS1-E16 Series Solenoid Valve,ACTUATOR
Parker Hannifin V Series Vane Pump,ACTUATOR
Parker Skinner™ 2-Way Spool Valve,ACTUATOR
Parrot AR.Drone 2.0,ACTUATOR
Parrot Anafi,ACTUATOR
Parrot Bebop 2,ACTUATOR
Parrot Pot - Smart Flowerpot,ACTUATOR
yueton Pack of 10 2 Pins On/Off Key Switch,ACTUATOR
Peerless by Tymphany Full Range Speakers,ACTUATOR
Pemko 300 Series Electric Strike,ACTUATOR
PetSafe Smart Feed Automatic Dog and Cat Feeder,ACTUATOR
Petnet SmartFeeder,ACTUATOR
Phanteks SK PWM D-RGB 120,ACTUATOR
Samsung SmartThings Wifi Smart Plug,ACTUATOR
Philips Air Purifier Series 2000i,ACTUATOR
Sandpiper® Signature Series Heavy Duty Ball Valve Diaphragm Pumps,ACTUATOR
Philips Hue A19 Starter Kit,ACTUATOR
Sanyo Denki 9G1212H1011,ACTUATOR
Satechi Dual Smart Outlet,ACTUATOR
Scotts Gro Smart Watering Kit,ACTUATOR
OXO BREW 9 Cup Coffee Maker,ACTUATOR
Omega Engineering Polyimide Flexible Heater,ACTUATOR
Schneider Electric RXG21BD Relay,ACTUATOR
Schlage Encode Smart WiFi Deadbolt,ACTUATOR
Schlage 789 Electric Strike,ACTUATOR
Omron G5Q-14-DC12 Power Relay,ACTUATOR
Omron G5RL Power PCB Relay,ACTUATOR
Orbi Pro WiFi 6 Mesh System,ACTUATOR
Orbit B-Hyve Smart Hose Faucet Timer,ACTUATOR
Orbit B-hyve Smart Hose Faucet Timer,ACTUATOR
Orbit B-hyve Smart Indoor Irrigation Controller,ACTUATOR
Osram Lightify LED smart bulbs,ACTUATOR
Ottolock Cinch Lock,ACTUATOR
Sceptre C248B-144R Gaming Monitor,ACTUATOR
Ozeri 3x Tower Fan,ACTUATOR
PAWISE Automatic Pet Feeder,ACTUATOR
PC,ACTUATOR
Scan-Speak full range speakers,ACTUATOR
Sanyo Denki 9GA0912P1G001,ACTUATOR
Philips Hue LED light bulbs,ACTUATOR
Philips Hue Lightstrip Plus LED strip lights,ACTUATOR
Samsung Smart Oven,ACTUATOR
RainMachine Pro-16 WiFi Irrigation Controller,ACTUATOR
Raspberry Pi 7 Touchscreen Display,ACTUATOR
Red Valve Series 75 Pinch Valve,ACTUATOR
Redmond SkyKettle Smart Kettle,ACTUATOR
Robo-Soul 6 DOF Robotic Arm,ACTUATOR
Roborock S6 Robot Vacuum and Mop,ACTUATOR
Robot Arm,ACTUATOR
Robotis Dynamixel X-series smart actuators,ACTUATOR
Roost Smart Battery 2nd Generation,ACTUATOR
Rosvola Mini Electromagnet,ACTUATOR
SOMMER Direct Drive 1042V004,ACTUATOR
SM series linear actuator,ACTUATOR
SDC 45 Electric Strike,ACTUATOR
SEAS Full Range Speakers,ACTUATOR
SECO-LARM E-941SA-80Q Electromagnetic Door Holder,ACTUATOR
SKF CASM-100-1 linear actuator,ACTUATOR
SKF CASM-100-1 actuator,ACTUATOR
SIMO series linear actuator,ACTUATOR
SHURflo Industrial Series Diaphragm Pump,ACTUATOR
Rachio 3 Smart Sprinkler Controller,ACTUATOR
RS Components Solenoids,ACTUATOR
RCI 0162-630 Electric Strike,ACTUATOR
RBE Electric SD-100-24 solenoid,ACTUATOR
Philips Hue White and Color Ambiance LED Bulb,ACTUATOR
Philips OLED805 4K TV,ACTUATOR
Phoenix Contact PLC-RSC-24DC/21 Relay,ACTUATOR
Samsung Refrigerator,ACTUATOR
Samsung QN90A Neo QLED TV,ACTUATOR
Pimoroni HyperPixel 4.0,ACTUATOR
Planar LookThru OLED Transparent Display,ACTUATOR
Samsung Powerbot R7040 Robot Vacuum,ACTUATOR
Samsung Family Hub,ACTUATOR
OPOLAR 10000mAh fan,ACTUATOR
Portescap 22ECP series brushless DC motor,ACTUATOR
Pure Enrichment MistAire Silver Ultrasonic Cool Mist Humidifier,ACTUATOR
QLOUNI 2.54mm Pitch DIP Switch,ACTUATOR
Samsung 110 MicroLED Display,ACTUATOR
QMark Electric Convection Heater,ACTUATOR
QR code reader,ACTUATOR
SainSmart 6-Axis Servo Control Robot Arm,ACTUATOR
Qpets AF 200 Pet Feeder with Digital Timer,ACTUATOR
SainSmart 6-Axis Desktop Robotic Arm,ACTUATOR
SainSmart 4-Axis Robot Arm,ACTUATOR
Progressive Automations PA-14 mini linear actuator,ACTUATOR
OMF Series fan,ACTUATOR
Norgren Float Valves,ACTUATOR
Scout Alarm System,ACTUATOR
MCM Audio Select Speakers,ACTUATOR
Stagg EKG+ Smart Kettle,ACTUATOR
MIDEA Dehumidifier,ACTUATOR
SparkFun Micro OLED Breakout,ACTUATOR
Soundlab Ultra-Thin Speakers,ACTUATOR
Sony SRS-XB402M,ACTUATOR
Sony Bravia XR A90J OLED TV,ACTUATOR
Sonos One,ACTUATOR
Song Chuan 303-1AH-C-R1-U01-12VDC Relay,ACTUATOR
Smeg KLF04 Smart Kettle,ACTUATOR
Smeg DCF02 Smart Coffee Maker,ACTUATOR
Smarter iKettle 3.0,ACTUATOR
Smarter Coffee 2nd Generation,ACTUATOR
SmartWatch,ACTUATOR
Smart Load Washer,ACTUATOR
Smart Dehumidifier,ACTUATOR
MWS 12VDC C-Frame Solenoid Electromagnets,ACTUATOR
Macron Dynamics PLG50 linear actuator,ACTUATOR
MagLab Inc. high-temperature electromagnet,ACTUATOR
SunFounder 10.1 IPS Display ,ACTUATOR
SunFounder Rollarm,ACTUATOR
Sunon EE40101S1-000U-999,ACTUATOR
Sunon KD1208PTB1-6A,ACTUATOR
Lin Engineering R208 and R210 actuators,ACTUATOR
Linear Pro Access Smart Garage Door Opener,ACTUATOR
Linksys EA9500,ACTUATOR
Little Giant Galvanized Steel Chow Hound Dog Feeder,ACTUATOR
LittleBits,ACTUATOR
Lock8 Smart Bike Lock,ACTUATOR
Lockly Secure Pro,ACTUATOR
Lockwood 3572 Electric Strike,ACTUATOR
Sylvania Smart+ LED Strip Lights,ACTUATOR
Skyworth Q71 Series 4K TV,ACTUATOR
Looking Glass Factory Holographic Display,ACTUATOR
Lutron Caseta Wireless Smart Lighting Dimmer Switch,ACTUATOR
Lutron Caseta Wireless Smart Plug,ACTUATOR
Sylvania SMART+ LED light bulbs,ACTUATOR
Sylvania SMART+ LED flexible strip lights,ACTUATOR
Swagelok Stainless Steel Needle Valve,ACTUATOR
MAG-MATE GT0800R electromagnets,ACTUATOR
Swagelok 60 Series Ball Valve,ACTUATOR
Sure Petcare - SureFeed - Microchip Pet Feeder,ACTUATOR
Sunon SP101A-1123HBT.GN,ACTUATOR
Sylvania Smart+ A19 Full Color LED Bulb,ACTUATOR
GE Profile Smart Oven,ACTUATOR
MagnePull Rod Casing Magnetic Retriever,ACTUATOR
Markel Products Company Radiant Heaters,ACTUATOR
Nanoleaf Light Panels,ACTUATOR
Nanoleaf Shapes Hexagon Smart Light Panels,ACTUATOR
Nanotec PD4-E CANopen brushless DC motor,ACTUATOR
Nanotec PD6-C series stepper motor,ACTUATOR
Neato Robotics D7 Connected Robot Vacuum,ACTUATOR
Nespresso Expert Espresso Machine,ACTUATOR
Nest Secure Alarm System,ACTUATOR
Nest x Yale Smart Lock,ACTUATOR
Securitron M32BD Magnalock,ACTUATOR
Netgear Nighthawk X10 AD7200,ACTUATOR
Netro Smart 12-Zone WiFi Sprinkler Controller,ACTUATOR
Netro Smart Sprinkler Controller,ACTUATOR
Nexlux LED Strip Lights,ACTUATOR
Nextion 3.5 Display,ACTUATOR
Nidec Servo Corporation MAC series brushless motor,ACTUATOR
Nippon Pulse America Linear Solenoids,ACTUATOR
Noctua NF-A12x15 PWM,ACTUATOR
Noctua NH-D15S chromax.black,ACTUATOR
Noke U-Lock,ACTUATOR
Nanoleaf Canvas LED light panels,ACTUATOR
Nanoleaf Aurora LED light panels,ACTUATOR
Nanode,ACTUATOR
Servotronix SoftStep linear actuator,ACTUATOR
Master Lock Bluetooth Smart Padlock,ACTUATOR
SimpliSafe system,ACTUATOR
Siemens 3TX7112-1NC13 Power Relay,ACTUATOR
McIgIcM Rocker Switch,ACTUATOR
McNaughton-McKay Electric Company solenoid,ACTUATOR
MeArm Robot Arm,ACTUATOR
Shinano Kenshi PF/PFC series DC motor,ACTUATOR
Micropump Series GJ Gear Pump,ACTUATOR
Sharp Superheated Smart Oven,ACTUATOR
Skydrop Halo Smart Sprinkler System,ACTUATOR
Miele Smart Oven,ACTUATOR
Minka-Aire Smart Ceiling Fan,ACTUATOR
Miuzei 7 Inch IPS Display,ACTUATOR
Modern Forms Smart Fan,ACTUATOR
Moons' Industries America MT series hybrid stepper motor,ACTUATOR
Moyno 2000 Pump,ACTUATOR
Mr. Coffee Smart Coffee Maker,ACTUATOR
Sharks Cove,ACTUATOR
NMB Minebea 4710KL-04W-B56-E00,ACTUATOR
Shark IQ Robot Vacuum with Self-Empty Base,ACTUATOR
MikroTik RouterBOARD RB750Gr3,ACTUATOR
GE Profile Smart Front Load Washer,ACTUATOR
Honeywell Ceramic Heater,ACTUATOR
GE C by GE Sol Smart LED Table Lamp,ACTUATOR
Bose Home Speaker 500,ACTUATOR
Bray/McCannalok High Performance Butterfly Valve,ACTUATOR
Breville Smart Coffee Maker,ACTUATOR
Breville Smart Kettle,ACTUATOR
Brilliant Smart Home Control,ACTUATOR
BriskHeat Silicone Rubber Heating Blanket,ACTUATOR
gateway,ACTUATOR
Buehler Motor GR60x25 linear actuator,ACTUATOR
Bürkert Type 5404 Poppet Valve,ACTUATOR
C by GE Full Color Direct Connect LED Smart Bulbs,ACTUATOR
electromagnet,ACTUATOR
electrical actuator,ACTUATOR
CUI Audio Micro Speakers,ACTUATOR
Camden CX-ED1259L Electric Strike,ACTUATOR
Burkert Type 2868 Proportional Valve,ACTUATOR
Bosch 800 Series Smart Refrigerator,ACTUATOR
Boneco by Air-O-Swiss 7147 Ultrasonic Humidifier,ACTUATOR
hOmeLabs Energy Star Dehumidifier,ACTUATOR
Backer Marathon Strip Heater,ACTUATOR
BeagleBone,ACTUATOR
Behmor Connected Coffee Maker,ACTUATOR
Belimo Energy Valve,ACTUATOR
Belkin Wemo Insight Smart Plug,ACTUATOR
Bemonoc Electric Rotary Actuator Motor 12VDC Small Motor High Torque,ACTUATOR
Bicron Electronics solenoids,ACTUATOR
Big Ass Fans Haiku L Smart Ceiling Fan,ACTUATOR
GE Link LED bulbs,ACTUATOR
Blade Chroma,ACTUATOR
Blade Nano QX,ACTUATOR
hydraulic actuator,ACTUATOR
Blossom Smart Watering Controller,ACTUATOR
Blueair Blue Pure Fan and Air Purifier,ACTUATOR
heating element,ACTUATOR
electric lifting magnets,ACTUATOR
BRK Brands Hardwired Smoke Detector with 10-Year Battery Backup,ACTUATOR
Carlo Gavazzi RGC1A60A25KGU 3-Phase Relay,ACTUATOR
Chamberlain B970T WiFi Garage Door Opener,ACTUATOR
display screen,ACTUATOR
device,ACTUATOR
DFT Model SCV® Check Valve,ACTUATOR
cooling fan,ACTUATOR
controller,ACTUATOR
block,ACTUATOR
door opener,ACTUATOR
DIYmall DC 12V Timer Relay,ACTUATOR
DJI Inspire 2,ACTUATOR
DJI Matrice 100,ACTUATOR
DJI Matrice 600,ACTUATOR
DJI Mavic 2,ACTUATOR
DJI Mavic Air 2,ACTUATOR
DJI Mini 2,ACTUATOR
DJI Inspire 1,ACTUATOR
drone,ACTUATOR
DB Electrical SO-Bo-1528 12VDC Tubular Solenoid Electromagnet,ACTUATOR
DAGU Mr. Roboto,ACTUATOR
ebm-papst W2S130-AA03-01,ACTUATOR
Chromalox MTO Series Circulation Heater,ACTUATOR
Cole-Parmer Masterflex L/S Digital Modular Drive Pump,ACTUATOR
ebm-papst R2E190-AO26-37,ACTUATOR
Coway Airmega 200M Smart Air Purifier,ACTUATOR
Cozytek Infrared Heating Panel,ACTUATOR
Crane Smart Ultrasonic Humidifier,ACTUATOR
Cree Connected LED bulbs,ACTUATOR
Crossfire Solenoid Valve,ACTUATOR
Crydom D06D100 Solid State Relay,ACTUATOR
Cytron Robotic Arm,ACTUATOR
D-Link DIR-882,ACTUATOR
ebm-papst A2E200-AF02-01,ACTUATOR
D-Link mydlink Wi-Fi Smoke Detector,ACTUATOR
D-Shaped Electromagnet,ACTUATOR
Cat Pumps Piston Pump,ACTUATOR
iHome iSP8 Smart Plug,ACTUATOR
iKettle Wi-Fi Kettle,ACTUATOR
iPad,ACTUATOR
Abode Essentials Starter Kit,ACTUATOR
Abus Bordo Smart 6000A Bike Lock,ACTUATOR
Adafruit 0.5 Mini AMOLED Display,ACTUATOR
Adafruit 1.8 TFT LCD display,ACTUATOR
Adafruit 16mm Illuminated Pushbutton,ACTUATOR
Adafruit 2.8 TFT Touchscreen,ACTUATOR
switch,ACTUATOR
speaker,ACTUATOR
Adafruit Crickit HAT,ACTUATOR
solenoid,ACTUATOR
smart tv,ACTUATOR
servo motor,ACTUATOR
Adafruit Mini Metal Speaker,ACTUATOR
Adafruit NeoPixel LED Strip,ACTUATOR
solenoid electromagnet,ACTUATOR
ASUS RT-AX88U,ACTUATOR
ASSA ABLOY 310 Electric Strike,ACTUATOR
ASI Technologies Linear Solenoids,ACTUATOR
3DR Solo,ACTUATOR
4D Systems 4.3 LCD Display,ACTUATOR
A3144E Hall Effect Sensor Switch,ACTUATOR
ABB CM-MSE.12S Solid State Relay,ACTUATOR
valve,ACTUATOR
uxcell Open Frame Linear Motion Solenoid Electromagnet,ACTUATOR
uxcell LJ12A3-4-Z/BY inductive proximity sensor switch,ACTUATOR
unlock,ACTUATOR
uArm Swift Pro,ACTUATOR
ADT system,ACTUATOR
thermal actuator,ACTUATOR
ARCTIC Breeze Mobile,ACTUATOR
ARO® EXP Series Diaphragm Pumps,ACTUATOR
ARO® Ingersoll Rand 1 Pro Series Diaphragm Pump',ACTUATOR
tablet,ACTUATOR
Adafruit Push-Pull Solenoids,ACTUATOR
robotic arm,ACTUATOR
relay actuator,ACTUATOR
relay,ACTUATOR
Applied Motion Products STR series stepper motor,ACTUATOR
lock/unlock,ACTUATOR
lock and unlock,ACTUATOR
lock,ACTUATOR
Armstrong International 1811 Pressure Reducing Valve,ACTUATOR
Artec Robotic Arm,ACTUATOR
Asus ROG Swift PG32UQX Mini LED Gaming Monitor,ACTUATOR
linear actuator,ACTUATOR
August Smart Lock Pro,ACTUATOR
lightswitch,ACTUATOR
B&C Speakers,ACTUATOR
BEA 10RD433 Electric Strike,ACTUATOR
BEI Kimco Voice Coil Actuator,ACTUATOR
iRobot Roomba i7+ Robot Vacuum,ACTUATOR
iPhone,ACTUATOR
magnetic actuator,ACTUATOR
DJI Phantom 3,ACTUATOR
Appkettle Smart Kettle,ACTUATOR
microcontroller,ACTUATOR
pump,ACTUATOR
Adafruit Tactile Switch Buttons,ACTUATOR
pneumatic actuator,ACTUATOR
Adams Rite 7400 Series Electric Strike,ACTUATOR
AduroSmart ERIA Smart Smoke Detector,ACTUATOR
Alarm Lock 3105 Electric Strike,ACTUATOR
Alen BreatheSmart Classic Large Room Air Purifier,ACTUATOR
Alert Pro 10 Year Battery Smoke Detector Fire Alarm,ACTUATOR
notebook,ACTUATOR
motor,ACTUATOR
Amazon Echo (4th Gen),ACTUATOR
Amazon Smart Plug,ACTUATOR
mobile phone,ACTUATOR
Amico 25N DC 12V Push Type Open Frame Solenoid Electromagnet,ACTUATOR
Amico limit switches,ACTUATOR
Anaheim Automation HMI series integrated stepper motor,ACTUATOR
DJI Phantom 4,ACTUATOR
Black+Decker Smart Coffee Maker,ACTUATOR
Flower Power by Parrot,ACTUATOR
Ecovacs Deebot Ozmo T8 AIVI,ACTUATOR
actuator,ACTUATOR
Fujitsu FTR-B3GA012Z-B10 Power Relay,ACTUATOR
Yuneec Breeze,ACTUATOR
Yuneec Typhoon H Pro,ACTUATOR
Finder 40.52.9.024.0000 Industrial Relay,ACTUATOR
Fossil Gen 5E Smartwatch,ACTUATOR
Frontpoint Home Security System,ACTUATOR
Durex Industries Mica Band Heater,ACTUATOR
Frigidaire FGAC7044U1 70 Pint Dehumidifier,ACTUATOR
Eve Aqua Smart Water Controller,ACTUATOR
Edwards nXDS Dry Scroll Pump,ACTUATOR
Delta Electronics AFB0912SH,ACTUATOR
Elechomes UC5501 Ultrasonic Humidifier,ACTUATOR
Delta Electronics BreezSlim SLM0808HBG,ACTUATOR
Eminence speakers,ACTUATOR
Eero Pro 6,ACTUATOR
Delta Electronics TFB0812UHE-SP01,ACTUATOR
Delta-Therm FlexHeat Heating Tape,ACTUATOR
Folger Adam 310-2 Electric Strike,ACTUATOR
ELEGOO UNO R3 4DOF Robotic Arm Kit,ACTUATOR
Dr. Infrared Heater,ACTUATOR
ELEGOO 12-in-1 Tactile Push Button Switch,ACTUATOR
Dortronics 4300 Electric Strike,ACTUATOR
Dormeyer Solenoids,ACTUATOR
E-outstanding 1PC DC 3V 2.2LB/1KG 10mm 10N bistable electromagnet,ACTUATOR
Flowserve Valtek Valdisk™ Control Valve,ACTUATOR
Farris 3800L Series Flanged Relief Valve,ACTUATOR
Dyson Pure Humidify+Cool,ACTUATOR
Dyson Pure Cool Tower Fan,ACTUATOR
Dobot Magician,ACTUATOR
Festo EGC-HD electric axis,ACTUATOR
Fostex full range speakers,ACTUATOR
Flowserve Valtek Mark One Globe Control Valve,ACTUATOR
GE ADEL50LR 50-Pint Dehumidifier,ACTUATOR
Yale Assure Lock SL,ACTUATOR
Fitbit Versa 3,ACTUATOR
Electrolux Smart Refrigerator,ACTUATOR
be quiet! Silent Wings 3 120mm PWM,ACTUATOR
Electrolux Smart Oven,ACTUATOR
Frigidaire Energy Star 50 Pint Dehumidifier,ACTUATOR
bObsweep PetHair Plus Robotic Vacuum Cleaner,ACTUATOR
Danalock V3 Smart Lock,ACTUATOR
Danfoss TES 2 Thermal Expansion Valve,ACTUATOR
Zacro Automatic Cat Feeder,ACTUATOR
Yeelight Smart LED Bulbs,ACTUATOR
Fujitsu FTR-K1AK Relay,ACTUATOR
Eaton D2PR5T1 Relay,ACTUATOR
Zoeller M53 Mighty-Mate Submersible Sump Pump,ACTUATOR
First Alert Onelink Safe & Sound Smart Smoke + Carbon Monoxide Alarm,ACTUATOR
