id;IoT_threat_name;description;reference
HTT;Power Supply Failure;Power supply failure is a significant threat to IoT network resources. IoT devices rely on a stable and reliable power source to function correctly. Power supply failure can lead to data loss, reduced performance, and even complete device failure. In some cases, power supply failure can also damage the hardware components of IoT devices, leading to costly repairs or replacements. To mitigate this threat, IoT developers should design devices with appropriate power management and backup systems. For example, devices can be designed to switch to battery power in the event of a power outage or use redundant power supplies to ensure continuity of service. Additionally, organizations should regularly test and maintain their power infrastructure to ensure it is reliable and can handle the demands of their IoT devices. They should also have contingency plans in place to quickly replace or repair failed power supplies to minimize disruptions to the network.;Yadav, E.P., Mittal, E.A. and Yadav, H., 2018, February. IoT: Challenges and issues in indian perspective. In 2018 3rd International Conference On Internet of Things: Smart Innovation and Usages (IoT-SIU) (pp. 1-5). IEEE.
HTT;Component Failure;Component failure is one of the most common threats to IoT network resources. This refers to the failure of hardware components such as sensors, actuators, microcontrollers, and other electronic components that are used in IoT devices. Component failure can occur due to a variety of reasons, including manufacturing defects, wear and tear, environmental factors, and power surges. When a component fails, it can cause the entire IoT device or network to malfunction, leading to data loss, reduced performance, and even complete failure. To mitigate the risk of component failure, IoT developers should use high-quality components, perform rigorous testing, and have contingency plans in place to quickly replace or repair failed devices. Additionally, organizations should regularly test and maintain their IoT devices to ensure they are functioning properly and can handle the demands of their network.;Oteafy, S.M. and Hassanein, H.S., 2016. Resilient IoT architectures over dynamic sensor networks with adaptive components. IEEE Internet of Things Journal, 4(2), pp.474-483.
NLTT;Packet Sniffing;Packet sniffing is a type of cyber attack that involves intercepting and analyzing network traffic to gain unauthorized access to sensitive information. In the context of IoT networks, packet sniffing can be used to intercept and analyze the communication between IoT devices and the network, allowing attackers to gain access to sensitive data, such as login credentials, personal information, and other confidential data. Packet sniffing can be particularly dangerous for IoT networks because many IoT devices are designed to send data over unencrypted channels, making them vulnerable to interception and analysis. To mitigate the risk of packet sniffing, IoT developers should use secure communication protocols, such as SSL/TLS, to encrypt data in transit. Additionally, organizations should regularly monitor their network traffic for signs of packet sniffing and other cyber attacks and have contingency plans in place to quickly respond to any security incidents.;Diyeb, I.A.I., Saif, A. and Al-Shaibany, N.A., 2018. Ethical network surveillance using packet sniffing tools: A comparative study. International Journal of Computer Network and Information Security, 11(7), p.12.
ALTT;Zero-Day Exploits;A zero-day exploit is a type of cyber attack that takes advantage of a previously unknown vulnerability in software or hardware. This vulnerability can be used to gain unauthorized access to a system or network, steal data, or launch other types of attacks. In the context of IoT network resources, a zero-day exploit could be used to target a specific IoT device, take control of it, and use it for malicious purposes. For example, an attacker could use a zero-day exploit to take control of a smart thermostat and manipulate its temperature settings, causing discomfort or even physical harm to the occupants of a building. To mitigate the risk of zero-day exploits, IoT developers should regularly update their devices with the latest security patches and firmware updates, and organizations should implement network-level security measures such as firewalls and intrusion detection systems to detect and block malicious traffic.;Wang, L., Zhang, M., Jajodia, S., Singhal, A. and Albanese, M., 2014. Modeling network diversity for evaluating the robustness of networks against zero-day attacks. In Computer Security-ESORICS 2014: 19th European Symposium on Research in Computer Security, Wroclaw, Poland, September 7-11, 2014. Proceedings, Part II 19 (pp. 494-511). Springer International Publishing.
PLTT;Physical Damage;Physical damage is a threat to IoT network resources that can occur due to various reasons, such as natural disasters, accidents, or deliberate attacks. Physical damage can cause IoT devices to malfunction, leading to data loss, reduced performance, and even complete failure. For example, a flood or earthquake can damage the physical infrastructure supporting an IoT network, such as power lines or communication cables, leading to a loss of connectivity. Similarly, a deliberate attack, such as tampering with a device's hardware, can cause it to malfunction or become completely inoperable. To mitigate the risk of physical damage, IoT developers should design devices that are robust and resistant to physical damage, such as using durable materials and protective casings. Organizations should also have contingency plans in place to quickly replace or repair failed devices, and regularly test and maintain their power infrastructure to ensure it is reliable and can handle the demands of their IoT devices. Additionally, organizations should consider implementing physical security measures, such as access controls and surveillance systems, to prevent unauthorized access to their IoT devices and infrastructure.;
NLTT;Eavesdropping and traffic analysis;Eavesdropping or interception of wireless communication between IoT devices.;
PLTT;Signal Interference;Interference or disruption of wireless communication due to natural phenomena such as lightning or solar flares;
PLTT;Unauthorized Access;"Unauthorized access to IoT devices through hardware interfaces such as USB or Ethernet ports; Unauthorized access to network resources through vulnerabilities in network protocols or configurations";
ALTT;Remote Code Execution (RCE) Attacks;Remote Code Execution (RCE) attacks are a significant threat to IoT network resources. In an RCE attack, an attacker exploits a vulnerability in the IoT device's firmware or software to execute malicious code remotely, giving them complete control over the device. Once an attacker gains control of an IoT device, they can use it to launch further attacks against other devices on the network or use it as a platform for launching attacks against external targets. RCE attacks can be devastating to IoT networks, as they can allow attackers to steal sensitive data, disrupt operations, and cause physical damage to devices. To mitigate the risks of RCE attacks, IoT developers should implement secure coding practices, perform regular firmware updates and patches, and use network segmentation to isolate IoT devices from other network resources. Organizations should also monitor their networks for suspicious activity and have incident response plans in place to quickly respond to RCE attacks.;Everson, D., Cheng, L. and Zhang, Z., 2022. Log4shell: Redefining the web attack surface. In Workshop on Measurements, Attacks, and Defenses for the Web (MADWeb) 2022.
PLTT;Jamming;Attackers can flood the network with traffic, which can result in denial of service and disrupt communication between IoT devices. This can lead to loss of data and functionality of the IoT network.;
