id;IoT_threat_name;description;reference
NLTT;Packet Sniffing;Packet sniffing is a technique used to intercept and monitor network traffic. It can be a serious threat to IoT actuators because it allows an attacker to capture and analyze the data being sent between the actuators and other devices on the network. By doing so, the attacker can potentially gain access to sensitive information, such as login credentials or other data that could be used to compromise the security of the IoT system. In addition, packet sniffing can also be used to inject malicious packets into the network, which could cause the IoT actuators to malfunction or behave in unexpected ways. To mitigate this threat, it is important to use encryption and secure communication protocols to protect the data being transmitted between IoT devices.;Liu, X., Zeng, Q., Du, X., Valluru, S.L., Fu, C., Fu, X. and Luo, B., 2021, October. Sniffmislead: Non-intrusive privacy protection against wireless packet sniffers in smart homes. In Proceedings of the 24th International Symposium on Research in Attacks, Intrusions and Defenses (pp. 33-47).
ALTT;Data Breaches;Data breaches can be a significant threat to IoT actuators. If a cybercriminal gains access to the data stored in an IoT actuator, they could potentially manipulate or control the device, causing it to perform actions that were not intended by the owner. This could lead to serious consequences, such as physical damage, financial loss, or even endangering human lives. In addition, a data breach could also result in the theft of sensitive information, such as personal or financial data, which could be used for identity theft or other malicious purposes. Therefore, it is essential to implement robust security measures to protect IoT actuators from data breaches.;Moganedi, S., 2018, June. Undetectable data breach in iot: Healthcare data at risk. In 17th European Conference on Cyber Warfare and Security (Vol. 2, p. 296).
ALTT;Ransomware;Ransomware is a type of malware that encrypts the victim's data and demands payment in exchange for the decryption key. In the context of IoT actuators, ransomware can be a serious threat because it can effectively disable the actuators and prevent them from functioning properly. For example, an attacker could use ransomware to encrypt the data being sent to an IoT actuator controlling a critical system, such as a power grid or a hospital's life support system. This could cause significant disruption or even harm to individuals who depend on these systems. To mitigate this threat, it is important to implement strong security measures, such as firewalls, intrusion detection systems, and anti-malware software, to prevent ransomware from infecting the IoT system. In addition, regular backups of critical data can be used to restore the system in the event of a ransomware attack.;Humayun, M., Jhanjhi, N.Z., Alsayat, A. and Ponnusamy, V., 2021. Internet of things and ransomware: Evolution, mitigation and prevention. Egyptian Informatics Journal, 22(1), pp.105-117.
ALTT;Zero-Day Exploits;Attackers can exploit unknown vulnerabilities in the IoT actuator's software, allowing them to gain unauthorized access or to cause it to malfunction.;Stellios, I., Kotzanikolaou, P. and Psarakis, M., 2019. Advanced persistent threats and zero-day exploits in industrial Internet of Things. Security and Privacy Trends in the Industrial Internet of Things, pp.47-68.
PLTT;Signal Interference;Attackers may use electromagnetic interference to disrupt the communication between the IoT actuator and the rest of the system.;
HTT;Supply Chain Attacks;Supply chain attacks are a type of cyber attack that targets the supply chain of a product or service. In the context of IoT actuators, supply chain attacks can be a serious threat because they can compromise the integrity of the components used in the actuators, thereby compromising the security and functionality of the entire system. For example, an attacker may compromise a supplier's manufacturing process to introduce a backdoor into the firmware of an IoT actuator, which could be used to gain unauthorized access to the system. To mitigate this threat, it is important to implement strong supply chain security measures, such as vetting suppliers and ensuring that they follow secure manufacturing processes. In addition, regular security audits of the IoT system can help detect any vulnerabilities or suspicious activity that may indicate a supply chain attack.;Omitola, T. and Wills, G., 2018. Towards mapping the security challenges of the Internet of Things (IoT) supply chain. Procedia Computer Science, 126, pp.441-450.
HTT;Side-Channel Attacks;Side-channel attacks are a type of cyber attack that exploit weaknesses in a system's physical or electromagnetic emissions to extract sensitive information. In the context of IoT actuators, side-channel attacks can be a serious threat because they can be used to extract cryptographic keys or other sensitive information used to secure the system. For example, an attacker may use a power analysis attack to extract a secret key used to encrypt data transmitted by an IoT actuator. To mitigate this threat, it is important to implement strong cryptographic measures that are resistant to side-channel attacks, such as using randomized algorithms and implementing countermeasures like masking and blinding. In addition, physical security measures can be used to prevent attackers from gaining access to the device and its emissions, such as tamper-resistant packaging and secure storage.;Devi, M. and Majumder, A., 2021. Side-channel attack in Internet of Things: A survey. In Applications of Internet of Things: Proceedings of ICCCIOT 2020 (pp. 213-222). Springer Singapore.
ALTT;Malicious Scipts;Attackers may use XSS attacks to inject malicious scripts into the web interface of the IoT actuator, allowing them to steal sensitive information or execute unauthorized commands.;
ALTT;Injection Attacks;Attackers may inject malicious code or data into the IoT actuator, causing it to execute unauthorized commands or behave in unexpected ways.;Panchal, A.C., Khadse, V.M. and Mahalle, P.N., 2018, November. Security issues in IIoT: A comprehensive survey of attacks on IIoT and its countermeasures. In 2018 IEEE Global Conference on Wireless Computing and Networking (GCWCN) (pp. 124-130). IEEE.
HTT;Counterfeit Components;IoT actuators may be compromised if counterfeit components are used during manufacture, which can result in security vulnerabilities or other issues.;Negka, L., Gketsios, G., Anagnostopoulos, N.A., Spathoulas, G., Kakarountas, A. and Katzenbeisser, S., 2019, May. Employing blockchain and physical unclonable functions for counterfeit IoT devices detection. In Proceedings of the International Conference on Omni-Layer Intelligent Systems (pp. 172-178).
NLTT;Eavesdropping and Traffic Analysis;Attackers may monitor network traffic to intercept sensitive information or gain unauthorized access to IoT actuators.;
ALTT;Insider Attacks;Insider attacks are a type of threat to IoT actuators that occur when someone with authorized access to the system, such as an employee or contractor, intentionally or unintentionally misuses their access privileges to cause harm to the system or steal sensitive information. In the context of IoT actuators, insider attacks could involve an authorized user intentionally manipulating the actuators to cause damage to the system or steal data, or an unauthorized user gaining access to the system through an insider's credentials and carrying out similar actions. To mitigate the risk of insider attacks, it is important to implement strong access controls, regularly monitor user activity, and provide security awareness training to all employees and contractors with access to the system.;Khan, A.Y., Latif, R., Latif, S., Tahir, S., Batool, G. and Saba, T., 2019. Malicious insider attack detection in IoTs using data analytics. IEEE Access, 8, pp.11743-11753.
ALTT;SQL Injection;SQL injection is a type of cyber attack that can be a threat to IoT actuators. It occurs when an attacker sends malicious SQL commands to a database through an application that does not properly validate user input, allowing the attacker to execute unauthorized SQL commands and potentially gain access to sensitive data or control the actuators.  In the context of IoT actuators, an attacker could use SQL injection to manipulate the actuators to perform unauthorized actions, such as turning off critical systems or causing physical damage. To mitigate the risk of SQL injection attacks, it is important to implement secure coding practices, such as input validation and parameterized queries, and regularly update and patch software to address known vulnerabilities. Additionally, it is important to implement network segmentation and access controls to limit the potential impact of a successful attack.;Uwagbole, S.O., Buchanan, W.J. and Fan, L., 2017, May. Applied machine learning predictive analytics to SQL injection attack detection and prevention. In 2017 IFIP/IEEE Symposium on Integrated Network and Service Management (IM) (pp. 1087-1090). IEEE.
ALTT;Remote Code Execution (RCE);Remote Code Execution (RCE) is a type of cyber attack that can be a threat to IoT actuators. It occurs when an attacker is able to execute arbitrary code on a remote system, allowing them to take control of the system and potentially manipulate the actuators connected to it. In the context of IoT actuators, an attacker could use RCE to execute code on a vulnerable device and manipulate the actuators to perform unauthorized actions, such as turning off critical systems or causing physical damage. To mitigate the risk of RCE attacks, it is important to implement secure coding practices, such as input validation and sanitization, and regularly update and patch software to address known vulnerabilities. Additionally, it is important to implement network segmentation and access controls to limit the potential impact of a successful attack.;Bier, S., Fajardo, B., Ezeadum, O., Guzman, G., Sultana, K.Z. and Anu, V., 2021, April. Mitigating remote code execution vulnerabilities: a study on tomcat and android security updates. In 2021 IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS) (pp. 1-6). IEEE.
